,City Id,City Name,Country,Latitude,Longitude,Datetime,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed
362,355449,Esna,EG,25.29,32.55,1603691486,68.0,52,0,10.8
363,3870243,Taltal,CL,-25.4,-70.48,1603691422,56.25,71,7,1.45
364,1214488,Meulaboh,ID,4.14,96.13,1603691486,85.35,62,96,5.26
365,3469516,Bom Despacho,BR,-19.74,-45.25,1603691486,63.88,92,0,2.42
366,5404476,Ukiah,US,39.15,-123.21,1603691281,53.6,46,1,4.52
367,1215502,Banda Aceh,ID,5.56,95.32,1603691487,85.82,64,86,13.91
368,2191562,Dunedin,NZ,-45.87,170.5,1603691288,48.99,74,99,1.99
369,609919,Quryq,KZ,43.2,51.65,1603691487,63.63,65,62,7.96
370,3439781,Treinta y Tres,UY,-33.23,-54.38,1603691487,64.63,97,100,7.38
371,3126369,Carballo,ES,43.21,-8.69,1603691488,48.2,93,20,6.93
372,333795,Jijiga,ET,9.35,42.8,1603691488,70.65,24,16,7.9
373,364933,Umm Kaddadah,SD,13.6,26.69,1603691488,77.23,24,0,19.08
374,2447513,Arlit,NE,18.74,7.39,1603691488,72.21,21,0,5.06
375,4953804,Uxbridge,US,42.08,-71.63,1603691488,46.0,88,100,4.34
376,916668,Isoka,ZM,-10.16,32.63,1603691373,78.08,45,88,4.97
377,2174444,Bowen,AU,-20.02,148.23,1603691489,87.8,38,40,16.11
378,4852065,Clive,US,41.6,-93.72,1603691489,28.4,86,90,12.75
379,5332191,Butte,US,39.65,-121.57,1603691489,59.0,12,1,8.05
380,2347758,Bara,NG,10.37,10.73,1603691489,74.52,37,50,4.16
381,2126682,Bilibino,RU,68.05,166.44,1603691490,17.69,95,100,1.07
382,4946620,Palmer,US,42.16,-72.33,1603691490,46.4,65,90,4.7
383,3628473,San Cristobal,VE,7.77,-72.22,1603691490,65.1,88,36,1.36
384,3372988,Horta,PT,38.53,-28.63,1603691490,66.7,88,96,14.5
385,5641727,Bozeman,US,45.68,-111.04,1603691490,5.0,83,1,3.36
386,1631637,Pemangkat,ID,1.17,108.97,1603691491,81.99,76,80,11.77
387,211734,Lisala,CD,2.15,21.52,1603691491,71.67,98,100,1.45
388,3461860,Guaratinga,BR,-16.57,-39.57,1603691491,69.8,94,90,6.93
389,1489822,Tegul'det,RU,57.31,88.17,1603691491,32.7,96,100,5.5
390,1268008,Kanniyākumāri,IN,8.08,77.57,1603691492,84.99,64,66,9.4
391,2929602,Erkner,DE,52.42,13.75,1603691492,55.0,93,0,4.7
392,3455580,Padre Bernardo,BR,-15.35,-48.5,1603691492,69.69,93,100,0.27
393,2435708,Beïnamar,TD,8.67,15.38,1603691492,73.53,67,85,3.24
394,3904906,Santa Cruz de la Sierra,BO,-17.8,-63.17,1603691492,80.6,74,75,17.22
395,608270,Shubarshi,KZ,48.59,57.19,1603691493,52.2,67,74,26.02
396,286621,Salalah,OM,17.02,54.09,1603691261,82.4,45,0,2.24
397,1337607,Kudahuvadhoo,MV,2.67,72.89,1603691493,82.71,75,81,9.24
398,1651531,Ambon City,ID,-3.7,128.18,1603691493,87.8,66,20,9.17
399,4596208,Socastee,US,33.68,-79.0,1603691493,64.99,100,90,9.17
400,2312895,Mbandaka,CD,0.05,18.26,1603691494,71.74,96,100,2.71
401,1811720,Enshi,CN,30.3,109.48,1603691494,63.7,64,90,1.88
402,1492517,Shadrinsk,RU,56.09,63.63,1603691494,38.01,94,100,16.69
403,651943,Kokkola,FI,63.84,23.13,1603691494,48.99,100,90,12.75
404,464790,Zapolyarnyy,RU,69.42,30.81,1603691495,28.4,92,90,26.4
405,2037411,Fengcheng,CN,40.45,124.07,1603691495,62.8,52,97,5.3
406,7671223,Kloulklubed,PW,7.04,134.26,1603691495,80.6,88,75,3.36
407,2417795,Mandiana,GN,10.63,-8.68,1603691495,69.57,55,2,1.99
